"service","category","code","type","status","title","description","moc_url"
"Air Force","Enlisted","4D0X1","AFSC","Active","Diet Therapy","Performs duties in Nutritional Medicine Service to include procuring, storing, preparing, cooking, baking and serving regular and therapeutic diets and nourishment. Performs clinical dietetics tasks and procures equipment. Maintains established sanitation, safety, and security standards. Accomplishes supply and subsistence management control and other duties as assigned. When no dietitian is assigned, consults command dietitian.",NULL
"Air Force","Enlisted","4E0X1","AFSC","Active","Public Health","Manages and performs public health activities and programs. Included are food safety and defense inspection; sanitation; medical entomology programs; vector borne, communicable, and occupational disease prevention and control; public health medical readiness activities; and promoting and providing health education and training. Applies medical standards for initial and continued qualification of all Air Force members. Provides administrative oversight to the Preventive Health Assessment and Individual Medical Readiness (PIMR) Program and the related Occupational Health Physical Examinations Program (including audiograms). Provides medical intelligence through preventive medicine briefings and pre- and post-deployment surveillance activities and assists with medical processing for all deploying personnel.",NULL
"Air Force","Enlisted","4H0X1","AFSC","Active","Cardiopulmonary Laboratory","Performs and manages cardiopulmonary laboratory functions and activities for noninvasive diagnostic cardiac procedures, invasive diagnostic and interventional cardiac procedures, pulmonary function testing, diagnostic and therapeutic bronchoscopies, and respiratory therapy.",NULL
"Air Force","Enlisted","4J0X0","AFSC","Active","Physical Medicine","Manages and directs physical medicine and orthotic personnel, materiel, equipment, administration, and activities. Administers physical medicine and orthotic patient care. Implements treatment plans and coordinates activities to ensure effective and efficient delivery of patient care programs. Fits, fabricates, assembles, repairs and adjusts orthopedic orthoses.",NULL
"Air Force","Enlisted","4J0X2","AFSC","Active","Physical Medicine","Manages and directs physical medicine and orthotic personnel, materiel, equipment, administration, and activities. Administers physical medicine and orthotic patient care. Implements treatment plans and coordinates activities to ensure effective and efficient delivery of patient care programs. Fits, fabricates, assembles, repairs and adjusts orthopedic orthoses.",NULL
"Air Force","Enlisted","4J0XA","AFSC","Active","Physical Medicine, Orthotic","Manages and directs physical medicine and orthotic personnel, materiel, equipment, administration, and activities. Administers physical medicine and orthotic patient care. Implements treatment plans and coordinates activities to ensure effective and efficient delivery of patient care programs. Fits, fabricates, assembles, repairs and adjusts orthopedic orthoses.",NULL
"Air Force","Enlisted","4M0X1","AFSC","Active","Aerospace and Operational Physiology","Operates and maintains aerospace physiology training devices including altitude chambers and related training equipment. Instructs and observes on simulated flights to altitude, instructs in a classroom, and manages aerospace and operational physiology facility/facilities. Trains flying/non-flying personnel in subjects such as aircraft pressurization, night vision, emergency first aid, oxygen equipment, physiological effects of altitude, human performance, spatial disorientation, sensory phenomena, noise/vibration, cockpit/crew/maintenance resource management, situational awareness, acceleration, and emergency escape from aircraft. Other areas of responsibility include high altitude airdrop mission support (HAAMS), personal parachute program participation when assigned to the ?J? prefix manning position; parachute familiarization training, Aerospace and Operational Physiology team training, high altitude reconnaissance mission support (HARMS), fighter aircrew acceleration training, and limited hyperbaric chamber operations. Manages associated aerospace and operational physiology programs.",NULL
"Air Force","Enlisted","4N0X1","AFSC","Active","Aerospace Medical Service","Plans, provides, and evaluates routine patient care and treatment of beneficiaries to include flying and special operational duty personnel. Organizes the medical environment, performs and directs support activities for patient care situations, including contingency operations and disasters. Performs duty as Licensed Practical Nurse (LPN)/Licensed Vocational Nurse (LVN), Independent Duty Medical Technician (IDMT), Aeromedical Evacuation Technician (AET), Hyperbaric Medical Technician (HBMT); Allergy and/or Immunization Technician (AIT), Special Operations Command (SOC) Medic, Dialysis Medical Technician (DMT), Critical Care Technician (CCT), or Neurology Technician (NT) functions.",NULL
"Air Force","Enlisted","4N1X1","AFSC","Active","Surgical Service","Participates in, and manages planning, providing, and evaluating surgical patient care activities and related training programs. Organizes the medical environment, performs and directs support activities in patient care situations, including contingency operations and disasters. Assists professional staff in providing patient care for the surgical patient before, during, and after surgery. Performs scrub and circulating duties in the operating room (OR). Assists with post-anesthesia recovery of patients. Processes, stores, and distributes sterile supplies. Participates in planning, implementing, and evaluating management activities related to the OR and Central Sterile Supply Services (CSSS). Performs duties in and supervises the urology, orthopedic, and otorhinolaryngology surgical specialties.",NULL
"Air Force","Enlisted","4P0X1","AFSC","Active","Pharmacy","Manages administrative and technical pharmacy activities. Requisitions, stocks, compounds, and dispenses pharmaceuticals. Safeguards controlled drugs. Maintains and operates pharmacy information systems.",NULL
"Air Force","Enlisted","4R0X0","AFSC","Active","Diagnostic Imaging","Operates equipment to produce diagnostic images and assists radiologist or physician with special procedures. Prepares equipment and patients for diagnostic studies and therapeutic procedures. Performs technical and administrative radiology activities. Ensures health protective measures such as universal precautions and radiation protection measures are established and employed. Assists the radiation oncologist. Manages diagnostic imaging functions and activities.",NULL
"Air Force","Enlisted","4R0X1","AFSC","Active","Diagnostic Imaging","Operates equipment to produce diagnostic images and assists radiologist or physician with special procedures. Prepares equipment and patients for diagnostic studies and therapeutic procedures. Performs technical and administrative radiology activities. Ensures health protective measures such as universal precautions and radiation protection measures are established and employed. Assists the radiation oncologist. Manages diagnostic imaging functions and activities.",NULL
"Air Force","Enlisted","4T0X0","AFSC","Active","Medical Laboratory","Manages all medical laboratory activities in support of patient care, medical research, and military public health.",NULL
"Air Force","Enlisted","4T0X1","AFSC","Active","Medical Laboratory","Tests and analyzes specimens of human origin and other substances by established scientific laboratory techniques to aid in diagnosing, treating, and preventing diseases or to support medical research; and supervises medical laboratory activities.",NULL
"Air Force","Enlisted","4T0X2","AFSC","Active","Histopathology","Performs subprofessional duties at autopsies, prepares autopsy and surgical specimens, and supervises histopathology activities.",NULL
"Air Force","Enlisted","4V0X1","AFSC","Active","Ophthalmic","Performs and manages visual screening tests and assists in patient treatment. Processes prescriptions for military eyewear. Performs and manages optometry and ophthalmology clinic activities. Manages and directs ophthalmic service personnel, materiel, equipment and programs. Supervises technical and administrative activities of ophthalmic services.",NULL
"Air Force","Enlisted","4Y0X0","AFSC","Active","Dental","Assists the Dental Squadron Commander (DSC) in overall management and operation of dental activities.",NULL
"Air Force","Enlisted","4Y0X1","AFSC","Active","Dental Assistant","Performs paraprofessional tasks and oral hygiene duties. Supervises dental assistant functions.",NULL
"Air Force","Enlisted","4Y0X2","AFSC","Active","Dental Laboratory","Fabricates and repairs dental and maxillofacial prostheses and appliances. Inspects dental laboratory equipment and supervises dental laboratory activities.",NULL
"Air Force","Enlisted","5J0X1","AFSC","Active","Paralegal","Manages and performs legal functions not prohibited by statute and the Lawyers? Manual on Professional Conduct. Performs paraprofessional and legal research functions under the supervision of a judge advocate in connection with civil law, military justice, and claims activities. Provides administrative support Supervises administration of legal services and court-reporting activities.",NULL
"Air Force","Enlisted","5R0X1","AFSC","Active","Chaplain Assistant","Builds a culture of spiritual care for Air Force members, their families and other authorized personnel, while pursuing the Chaplain Corps vision of Glorifying God, Serving Airmen, and Pursuing Excellence. Chaplain assistants manage religious observances, pastoral care, and provide advice to leadership on spiritual, ethical, moral and morale issues. Chaplain assistants meet the diverse needs of the multi-faith military community by managing religious programs, administrative, financial, and facility support. They recruit, train, and organize volunteers for specific religious ministries. Chaplain assistants are uniquely trained in the principles of religious diversity, religious accommodation, major faith group requisites, privileged communications and religious program management. Chaplain Assistants are trained in crisis intervention counseling to include suicide-intervention skills and traumatic stress response. They also are trained in religious support to hospitals and mortuaries. Chaplain assistants are considered visible reminders of the Holy and conduct themselves in a manner that brings credit, pride and honorable distinction to the Chaplain Corps.",NULL
"Air Force","Enlisted","6C0X1","AFSC","Active","Contracting","Manages, performs, and administers contracting functions for commodities, services, and construction using simplified acquisition procedures, negotiation, and other approved methods. Uses automated contracting systems to prepare, process, and analyze transactions and products. Acts as business advisor, buyer, negotiator, administrator, and contracting officer. Supports all functions of contingency operations.",NULL
"Air Force","Enlisted","6F0X1","AFSC","Active","Financial Management and Comptroller","Provides financial services and resources to support the Air Forces war fighting mission. Performs, supervises, manages and directs financial management activities both at home station and deployed locations. Provides customer service. Maintains financial records for pay and travel transactions. Maintains accounting records and prepares reports. Determines fund availability and propriety of claims. Accounts for cash, checks, and other negotiable instruments. Processes commitments and obligations, payments, and collections. Serves as financial advisor to commanders and resource managers. Compiles, analyzes, and summarizes data. Prepares and executes financial plans. Performs audits and implements fraud prevention measures.",NULL
"Air Force","Enlisted","7S0X1","AFSC","Active","Special Investigations","Conducts criminal, economic crime, counterintelligence, force protection, personnel suitability, computer crime, technical services investigations and special inquiries. Manages special investigations activities.",NULL
"Air Force","Officer","10CXX","AFSC","Active","Operations Commander","Commands and directs administration, training, and employment of Operations Groups.",NULL
"Air Force","Officer","11BXX","AFSC","Active","Bomber Pilot","Pilots bomber aircraft and commands crews to accomplish airlift, training, and other missions.",NULL
"Air Force","Officer","11EXX","AFSC","Active","Experimental Test Pilot","Plans, conducts, directs, and reports on flight test programs associated with the design, development, and modification of aircraft, aerospace vehicles, flight simulators, and related systems.",NULL
"Air Force","Officer","11FXX","AFSC","Active","Fighter Pilot","Pilots fighter aircraft and commands crews to accomplish combat, training, and other missions.",NULL
"Air Force","Officer","11GXX","AFSC","Active","Generalist Pilot","Develops plans and policies, monitors and evaluates operations, coordinates staff activities, and advises commanders.",NULL
"Air Force","Officer","11HXX","AFSC","Active","Helicopter Pilot","Pilots helicopter aircraft and commands crews to accomplish combat, training, and other missions.",NULL
"Air Force","Officer","11KXX","AFSC","Active","Trainer Pilot","Pilots trainer aircraft to accomplish the pilot training mission.",NULL
"Air Force","Officer","11MXX","AFSC","Active","Mobility Pilot","Pilots mobility aircraft and commands crews to accomplish tanker, airlift, training, and other missions.",NULL
"Air Force","Officer","11RXX","AFSC","Active","Reconnaissance/Surveillance/Electronic Warfare Pilot","Pilots specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, search and rescue, electronic warfare, training, and other missions.",NULL
"Air Force","Officer","11SXX","AFSC","Active","Special Operations Pilot","Pilots special operations aircraft (fixed-wing or helicopter) and commands crews to accomplish special operations, training, and other missions.",NULL
"Air Force","Officer","11UXX","AFSC","Active","Remotely Piloted Aircraft (RPA) Pilot","Operates specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, combat, training, and other missions.",NULL
"Air Force","Officer","12BXX","AFSC","Active","Bomber Combat Systems Officer","Performs duties of navigator, electronic warfare officer (EWO), or weapon systems officer (WSO) to accomplish combat, training, and other assigned missions.",NULL
"Air Force","Officer","12EXX","AFSC","Active","Experimental Test Combat Systems Officer","Plans, conducts, directs, and reports on flight test programs associated with the design, development, and modification of aircraft, aerospace vehicles, flight simulators, and related systems.",NULL
"Air Force","Officer","12FXX","AFSC","Active","Fighter Combat Systems Officer","Performs duties of weapon systems officer (WSO), electronic warfare officer (EWO), to accomplish combat, training, and other assigned missions.",NULL
"Air Force","Officer","12GXX","AFSC","Active","Generalist Combat Systems Officer","Develops plans and policies, monitors and evaluates operations, coordinates staff activities, and advises commanders.",NULL
"Air Force","Officer","12KXX","AFSC","Active","Trainer Combat Systems Officer","Performs duties of a trainer CSO to accomplish CSO training and other assigned missions.",NULL
"Air Force","Officer","12MXX","AFSC","Active","Mobility Combat Systems Officer","Performs duties of CSO to accomplish mobility, training, and other assigned missions.",NULL
"Air Force","Officer","12RXX","AFSC","Active","Reconnaissance/Surveillance/Electronic Warfare Combat Systems Officer","Performs duties of navigator or electronic warfare officer (EWO) to accomplish reconnaissance, surveillance, search and rescue, electronic combat, training, and other assigned missions.",NULL
"Air Force","Officer","12SXX","AFSC","Active","Special Operations Combat Systems Officer","Performs duties of navigator, fire control officer (FCO), or electronic warfare officer (EWO) to accomplish special operations, training, and other assigned missions.",NULL
"Air Force","Officer","12UXX","AFSC","Active","Remotely Piloted Aircraft (RPA) Pilot","Operates specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, combat, training, and other missions.",NULL
"Air Force","Officer","13AXX","AFSC","Active","Astronaut","Commands space shuttle missions. Pilots space shuttle. Accomplishes on-orbit duties. Operates DoD payloads. Provides manned space flight consultation to DoD activities and other government agencies.",NULL
"Air Force","Officer","13BXX","AFSC","Active","Air Battle Manager","Performs duties of air weapons officer (AWO), air surveillance officer (ASO), sensor management officer (SMO), electronic combat officer (ECO), senior director (SD), mission crew commander (MCC) to accomplish combat, combat support, training, and other missions.",NULL
"Air Force","Officer","13DXX","AFSC","Active","Control and Recovery","Provides assault zone reconnaissance and assessments, terminal control, and personnel recovery (PR). Manages day-to-day operations of PR activities to coordinate PR system and organize, train and equip assigned personnel to conduct rescue and recovery operations; manages space survival, evasion, resistance, and escape (SERE) programs; and surveys, establishes, and controls the aerospace surface interface in objective areas. Deploys as team member, team leader or mission commander as a direct combatant or to command and battle staffs to provide subject matter expertise to plan for and manage command and control for special reconnaissance, terminal control and PR operations.",NULL
"Air Force","Officer","13LXX","AFSC","Active","Air Liaison Officer","The Air Liaison Officer (ALO) leads, plans, organizes, and supervises day-to-day Tactical Air Control Party (TACP) and Air Support Operations Center (ASOC) operations and personnel both in garrison and while deployed. The ALO represents the Joint/Combined Forces Air Component Commander as a supporting member of the Army Commander?s staff. The ALO provides subject matter expertise to lead, plan, and execute Command-and-Control and terminal execution of Air, Space, and Cyber operations in direct support of land component forces from Battalion through Corps, or as required, as part of a coalition or joint force, or in coordination with an interagency operation. The ALO may engage enemy forces utilizing advanced technologies and weapon systems to direct lethal and non-lethal fires and effects in close proximity to friendly forces as a Joint Terminal Attack Controller (JTAC).",NULL
"Air Force","Officer","13MXX","AFSC","Active","Airfield Operations","Performs and manages airfield operations functions and activities, including air traffic control (ATC), airfield management, and base operations. Manages day-to-day operations of facilities, including radar approach control, ground controlled approach, radar final control, control tower, and base operations. Provides staff supervision and technical assistance. Develops and formulates plans and policies for managing and operating Air Force (AF) airfield operations. Supports civil aviation responsibilities in compliance with Public Law 85-726.",NULL
"Air Force","Officer","13SXX","AFSC","Active","Space and Missile Operations","Operates and manages space and missile operations systems. The systems include surveillance, intercontinental ballistic missile (ICBM) launch, spacelift, space warning, and satellite command and control (C2). Performs associated battle management, command, control, and communications activities to defend and support the United States and allied forces. Serves as space and missile operations advisor.",NULL
"Air Force","Officer","14NXX","AFSC","Active","Intelligence","Performs and manages intelligence functions and activities to support United States and allied forces. Conducts information operations to include analysis of information vulnerability. Included are intelligence operations and applications activities; collecting, exploiting, producing, and disseminating foreign military threat information; geospatial information and services (GI & S) data application; developing intelligence policies and plans; and human, signals, imagery, and measurement and signature types of intelligence. Provides staff supervision and technical advice. Plans and coordinates use of intelligence resources, programming, and budgeting. Supports force employment planning, execution, and combat assessment. Advises commanders, government officials, and other users of intelligence information essential to military planning and aerospace operations.",NULL
"Air Force","Officer","15WXX","AFSC","Active","Weather","Commands, manages, and performs weather operations for Air Force and Army activities. Integrates current and forecast atmospheric and space weather conditions into operations and operational planning. Develops, directs, and coordinates meteorological and space weather studies and research. Supports and executes weather operations through leadership and management of weather centers, groups, squadrons, weather flights/detachments. Supports Air Force core weather responsibility to provide meteorological and space weather information for DoD air, ground, and space operations.",NULL
"Air Force","Officer","16FXX","AFSC","Active","Regional Affairs Strategist (RAS)","Provides regional expertise and professional foreign language competency to build effective relationships with our global partners. This international expertise is key to an ability to sustain coalitions, pursue regional stability and security cooperation, and contribute to multi-national operations.",NULL
"Air Force","Officer","16GXX","AFSC","Active","Air Force Operations Staff Officer","Develops and writes Air Force, joint services, or combined plans, programs, and policies. Uses broad operations background and understanding of the entire spectrum of Air Force operational doctrine and employment in multi-functional areas of responsibility to satisfy mission objectives.",NULL
"Air Force","Officer","16PXX","AFSC","Active","Political-Military Affairs Strategist (PAS)","No Description Available",NULL
"Air Force","Officer","16RXX","AFSC","Active","Planning and Programming","Develops and writes Air Force, joint services, and combined plans, programs, and policies (numbered Air Force and above). Services multi-functional areas of responsibilities to satisfy mission objectives and does not include duties involving a single functional area such as logistics, operations, finance, and so forth.",NULL
"Air Force","Officer","17CXX","AFSC","Active","Cyberspace Operations Commander","Commands Cyberspace Operations Groups. Directs and monitors activities to ensure seamless integration of cyberspace operations resources for Air Force operations.",NULL
"Air Force","Officer","17DXX","AFSC","Active","Cyberspace Operations","Executes cyberspace operations and information operations functions and activities. Plans, organizes and directs operations, including network attack (Net-A), network defense (Net-D), network warfare support (NS), network operations and related information operations. Such operations cover the spectrum of mission areas within the cyberspace domain. Suffix A - Cyberspace Defense. Plans, organizes and performs network defense, exploitation and attack in support of joint, national and AF objectives. Suffix B - Cyberspace Control. Plans, organizes and performs network operations to include establishment, operations, information assurance and defense in support of joint, national and AF objectives.",NULL
"Air Force","Officer","18AXX","AFSC","Active","Attack Remotely Piloted Aircraft Pilot","Operates specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, attack, combat, training, and other missions.",NULL
"Air Force","Officer","18GXX","AFSC","Active","Generalist Remotely Piloted Aircraft Pilot","Develops plans and policies, monitors and evaluates operations, coordinates staff activities, and advises commanders.",NULL
"Air Force","Officer","18RXX","AFSC","Active","Reconnaissance Remotely Piloted Aircraft Pilot","Operates specialized mission aircraft and commands flight crews to accomplish reconnaissance, surveillance, combat, training, and other missions.",NULL
"Air Force","Officer","20CXX","AFSC","Active","Logistics Commander","Directs and monitors logistics programs including supply, transportation, procurement, and maintenance activities; and serves as senior staff adviser to commanders.",NULL
"Air Force","Officer","21AXX","AFSC","Active","Aircraft Maintenance","Leads, trains, and equips personnel supporting aerospace equipment sustainment and operations. Manages maintenance and modification of aircraft and associated equipment. Administers aircraft maintenance programs and resources. Directs aircraft maintenance production, staff activity, and related materiel programs. Assesses unit capability and advises senior leadership. Related DoD Occupational Groups: 4D.",NULL
"Air Force","Officer","21MXX","AFSC","Active","Munitions and Missile Maintenance","Manages maintenance and modification of conventional munitions, nuclear weapons, and associated equipment. Administers weapons programs and resources. Directs weapons maintenance production, staff activity, and related material programs. Manages missile maintenance activities at launch and missile alert facilities, including maintenance, repair, and inspection of missile flight systems, expendable launch vehicles (ELV), nuclear certified support vehicles and equipment, and associated ground support equipment (SE). Serves as munitions and missile maintenance staff advisor to commanders.",NULL
"Air Force","Officer","21RXX","AFSC","Active","Logistics Readiness","Integrates the spectrum of the logistics processes within the operational, acquisition, and wholesale environments. The major logistics processes include distribution management, materiel management and contingency operations. Directs and manages distribution management, materiel management, contingency operations, fuels management, aerial port operations, vehicle management, and acquisition/life cycle logistics management. Plans and programs logistics support for wartime requirements.",NULL
"Air Force","Officer","30CXX","AFSC","Active","Support Commander","Commands Support Group. Directs and monitors support activities and units. Ensures cohesive integration of functions and resources in force protection; civil engineering (CE); communications - computer; morale, welfare, recreation, and services (MWRS); public affairs; personnel; information management; and manpower to support installation, Wing, and mission needs.",NULL
"Air Force","Officer","31PXX","AFSC","Active","Security Forces","Leads, manages, and directs security force (SF) activities. Included are installation, weapon system, and resource security; antiterrorism; law enforcement and investigations; military working dog functions; air base defense; armament and equipment; training pass and registration; information, personnel, industrial security; and combat arms. SF duties may require use of deadly force.",NULL
"Air Force","Officer","32EXX","AFSC","Active","Civil Engineer","Develops and implements civil engineer (CE) force employment, and provides staff supervision and technical advice. Performs and manages CE functions and activities to provide facilities and infrastructure supporting the United States and allies. Activities include programming, budgeting, project management, drafting, surveying, planning, feasibility studies, construction management, utilities operations, energy and environmental programs, land management, real property accounting, fire protection, explosive ordnance disposal (EOD), disaster preparedness (DP) programs, family housing and dorm management, and mobilization programs at base level. Serves on response teams and related installation support services. Advises commanders and government officials on effective use of CE resources.",NULL
"Air Force","Officer","35BXX","AFSC","Active","Band","Administers, manages, and directs Air Force band programs, including procurement and training of band directors and band personnel. Monitors use of bands, including scheduling and performances of band units and sub-units.",NULL
"Air Force","Officer","35PXX","AFSC","Active","Public Affairs","Plans, budgets for, executes, and evaluates effectiveness of public affairs programs. Trains full-time public affairs specialists and additional duty unit public affairs representatives; and provides public affairs advice, counsel, and support for commanders and senior staff people.",NULL
"Air Force","Officer","38FXX","AFSC","Active","Force Support","Administers and conducts Total Force support operations across the A1 enterprise. Operations include organizational design and development, manpower programming and allocation; workforce planning and requirements; force management to include assignment, classification, and education and training; performance management for both individuals and organizations; program management including finance, budgeting and Airman support; force readiness providing family development, Morale, Welfare and Recreation services, and other force support operations.",NULL
"Air Force","Officer","40CXX","AFSC","Active","Medical Commander","Commands Air Force medical centers, units, or activities whose primary mission is to provide medical care and other health services. Serves as chief staff advisor to line commanders.",NULL
"Air Force","Officer","41AXX","AFSC","Active","Health Services Administrator","Manages health services activities, including plans and operations, managed care, human resource management, logistics management, patient administration, budgetary and fiscal management, medical manpower, medical facility management, biometrics, medical recruiting, and aeromedical evacuation. Directs the hospital accreditation program and management improvement studies.",NULL
"Air Force","Officer","42BXX","AFSC","Active","Physical Therapist","Plans, develops, and manages physical therapy programs and activities. Implements research activities. Provides and conducts training in physical therapy. Evaluates patients and treats disabilities requiring physical therapy.",NULL
"Air Force","Officer","42EXX","AFSC","Active","Optometrist","Examines, diagnoses, treats and manages diseases and disorders of the visual system, the eye and associate structures as well as diagnoses related systemic conditions. Serves as an integral part of the military health team and an entry point into the military health care system. The scope of optometric practice in the Air Force includes but is not limited to comprehensive primary eye care services, i.e., evaluations, diagnoses and treatment, for all eligible patient beneficiary categories; comprehensive specialty services, including contact lenses, low vision and vision training; co management of ocular surgery and ocular complications of systemic illness in the inpatient and outpatient setting; primary eye care consultant for other health care professionals in the military health care system; promoting prevention and wellness, vision conservation, education and training activities, vision screenings, and positive health behaviors.",NULL
"Air Force","Officer","42FXX","AFSC","Active","Podiatrist","Provides examination, diagnosis treatment, prevention, and care of conditions and functions of the human foot and related structures. Plans, conducts, and directs research in the area of podiatric medicine.",NULL
"Air Force","Officer","42GXX","AFSC","Active","Physician Assistant","Performs primary medical care and clinical duties with the direction of a physician.",NULL
"Air Force","Officer","42NXX","AFSC","Active","Audiology/Speech Pathologist","Provides care, treatment, and prevention programs for human ailments in the area of professional practice. Plans, conducts, and directs research in area of professional practice.",NULL
"Air Force","Officer","42PXX","AFSC","Active","Clinical Psychologist","Applies psychological principles and techniques to problems of human effectiveness, maladjustment, and psychological disturbances. Evaluates, diagnoses, and treats psychological and neuropsychological disorders. Teaches, supervises, and directs clinical psychology and related mental health programs.",NULL
"Air Force","Officer","42SXX","AFSC","Active","Clinical Social Worker","Explores basic personality structure in relationship to developing behavioral patterns, mechanisms, and symptoms. Applies principles, knowledge, and practice of professional social work to provide mental health diagnosis, treatment, research, consultation, and preventive programs for individuals, families, groups, and organizations in military community.",NULL
"Air Force","Officer","42TXX","AFSC","Active","Occupational Therapist","Plans, develops, and manages occupational therapy programs and activities. Implements research activities. Provides and conducts training in occupational therapy. Evaluates patients and treats disabilities requiring occupational therapy.",NULL
"Air Force","Officer","43AXX","AFSC","Active","Aerospace and Operational Physiologist","Train selected Biomedical Science Corps (BSC) officers in a course of instruction leading to designation as an Air Force Aerospace and Operational Physiology Officer (APO). Trains in hypobaric (altitude) chamber operations, aeromedical aspects of flight, sensory physiology, aviation life support systems, acceleration physiology, emergency egress, aircraft mishap investigation concepts, and Airman performance enhancement, sustainment and optimization. Manage aerospace physiological training units and human performance flights. Specific duties include: instructs personnel in aerospace and operational physiology, human performance and human factors. Plans, conducts, and directs aerospace physiology acquisition, science and technology programs; manages specialized physiology support divisions for high altitude projects; manages life support equipment functions when required; and supervises aerospace and operational physiology programs at Air Staff, MAJCOM, or FOA staff level.",NULL
"Air Force","Officer","43BXX","AFSC","Active","Biomedical Scientist","Plans, administers, and manages multi-disciplinary professional programs and activities in the broad area of biomedical sciences.",NULL
"Air Force","Officer","43DXX","AFSC","Active","Dietitian","Serves as the advisor to the Medical Treatment Facility Commander (MTF/CC) in matters pertaining to food service, nutrition and dietetics. Plans and manages nutritional medicine operations to include food production and the performance of clinical and preventive dietetic activities. Coordinates with and makes recommendations to commanders, staff agencies, and military base organizations concerning nutrition and dietetics issues.",NULL
"Air Force","Officer","43EXX","AFSC","Active","Bioenvironmental Engineer","Applies engineering and scientific principles in identifying and evaluating occupational and environmental health (OEH) hazards and recommending controls to support risk management decisions to ensure Force Health Protection.",NULL
"Air Force","Officer","43HXX","AFSC","Active","Public Health Officer","Applies preventive and public health knowledge, techniques, and skills to promote health and to reduce the incidence of communicable diseases, occupational illnesses, food borne diseases, and disease and nonbattle injuries while in garrison as well as in field conditions. Promotes the public health through epidemiological surveillance of health and disease trends in populations, as well as monitoring food safety practices, and sanitation levels in public and food service facilities.",NULL
"Air Force","Officer","43MXX","AFSC","Active","Medical Entomologist","Supports operational, research and training activities worldwide. Develops and administers disease vector surveillance, integrated vector and pest management, vector-borne and zoonotic disease research, and environmental programs to protect forces from vector-borne/zoonotic disease and injury, prevent damage to weapons systems and installations, and ensure the implementation of effective and environmentally sound integrated vector and pest management controls.",NULL
"Air Force","Officer","43PXX","AFSC","Active","Pharmacist","Directs and manages the pharmacy department. Develops and coordinates pharmaceutical care activities and ensures prescription dispensing, patient medication counseling, drug regimen reviews, and other related activities are carried out to professional standards. Supervises the preparation of medicines. Manages, supervises and trains pharmacy staff. Advises physicians and other health practitioners on the selection, dosages, interactions, and side effects of medications. Ensures compliance with state, federal and DoD regulations. Serves on various medical treatment facility committees. Supports the readiness mission.",NULL
"Air Force","Officer","43TXX","AFSC","Active","Biomedical Laboratory","Manages, directs, supervises, and performs analyses of biologic and related materials in hospital, environmental, occupational, epidemiological, toxicological, or research and development laboratories; and teaches medical laboratory sciences.",NULL
"Air Force","Officer","44AXX","AFSC","Active","Chief","Plans and administers medical services at base level medical treatment facilities (MTF), including maintenance of health standards, training, and use of personnel. Directs inpatient and outpatient care and services.",NULL
"Air Force","Officer","44BXX","AFSC","Active","Preventive Medicine","Administers aerospace medicine program. Develops, administers, and conducts general preventive medicine and public health programs. Evaluates living and working environments to detect and control health hazards and prevent disease and injury within the Air Force community.",NULL
"Air Force","Officer","44DXX","AFSC","Active","Pathologist","Diagnoses diseases by performing pathological examinations of body tissue; manages clinical laboratory services.",NULL
"Air Force","Officer","44EXX","AFSC","Active","Emergency Services Physician","Examines, diagnoses, and treats initial and acute phase of illnesses and injuries. Directs emergency and related outpatient services. Directs disaster planning, training, and management in the prehospital and hospital access areas.",NULL
"Air Force","Officer","44FXX","AFSC","Active","Family Physician","Provides continuing, comprehensive health maintenance and medical care to entire family regardless of sex, age, or type of problem. Directs outpatient and inpatient care and services. Instructs other health care providers and nonmedical personnel.",NULL
"Air Force","Officer","44GXX","AFSC","Active","General Practice Physician","Examines, diagnoses, and treats diseases and injuries; manages outpatient and ward services.",NULL
"Air Force","Officer","44HXX","AFSC","Active","Nuclear Medicine Physician","Uses radionuclides in diagnostic imaging, in treating disease, and for a variety of laboratory procedures. Manages Nuclear Medicine Services.",NULL
"Air Force","Officer","44JXX","AFSC","Active","Clinical Geneticist","Evaluates, examines, diagnoses and treats genetic diseases and conditions. Manages medical genetics services.",NULL
"Air Force","Officer","44KXX","AFSC","Active","Pediatrician","Examines, diagnoses, and treats diseases and injuries of infants and children. Manages pediatric services.",NULL
"Air Force","Officer","44MXX","AFSC","Active","Internist","Diagnoses diseases and renders nonsurgical care; provides consultation in complex cases. Manages internal medicine services.",NULL
"Air Force","Officer","44NXX","AFSC","Active","Neurologist","Examines, diagnoses, and treats diseases and disorders of the nervous system. Manages neurological services.",NULL
"Air Force","Officer","44PXX","AFSC","Active","Psychiatrist","Examines, evaluates, diagnoses, and treats psychiatric disorders; manages and directs psychiatric services.",NULL
"Air Force","Officer","44RXX","AFSC","Active","Diagnostic Radiologist","Makes and interprets diagnostic images; performs special procedures. Manages radiological services.",NULL
"Air Force","Officer","44SXX","AFSC","Active","Dermatologist","Examines, diagnoses, and treats diseases of skin. Manages dermatological services.",NULL
"Air Force","Officer","44TXX","AFSC","Active","Radiotherapist","Participates in the multi-disciplinary management of cancer patients. Evaluates patients to determine suitability for radiation therapy. Treats pathological conditions with various types and sources of radiation. Manages radiotherapy services.",NULL
